               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,            0.038797,            0.015019,                   0,                   1,              0.8939,             0.96867,             0.51583,            0.022961,            0.011669,                   0,            0.007129,            0.007129,            0.007129
                 118,            0.036158,            0.013937,                   0,             0.94666,             0.94737,             0.97891,               0.588,             0.02013,            0.011962,                   0,           0.0071042,           0.0071042,           0.0071042
                 119,            0.039235,            0.015091,                   0,             0.94666,             0.94737,             0.97891,               0.588,             0.02013,            0.011962,                   0,           0.0070795,           0.0070795,           0.0070795
                 120,            0.037983,            0.011995,                   0,             0.71981,             0.94737,             0.86939,             0.56413,            0.023593,             0.01135,                   0,           0.0070547,           0.0070547,           0.0070547
                 121,            0.047705,            0.016169,                   0,             0.71981,             0.94737,             0.86939,             0.56413,            0.023593,             0.01135,                   0,             0.00703,             0.00703,             0.00703
                 122,             0.04504,            0.015702,                   0,             0.71981,             0.94737,             0.86939,             0.56413,            0.023593,             0.01135,                   0,           0.0070053,           0.0070053,           0.0070053
                 123,            0.042026,            0.015434,                   0,             0.94708,             0.94737,             0.98367,              0.6612,            0.018957,            0.011246,                   0,           0.0069805,           0.0069805,           0.0069805
                 124,            0.038823,            0.014613,                   0,             0.94708,             0.94737,             0.98367,              0.6612,            0.018957,            0.011246,                   0,           0.0069558,           0.0069558,           0.0069558
                 125,            0.043013,            0.017868,                   0,             0.94708,             0.94737,             0.98367,              0.6612,            0.018957,            0.011246,                   0,            0.006931,            0.006931,            0.006931
                 126,            0.039963,            0.012792,                   0,             0.99991,             0.94737,             0.99024,             0.66008,            0.016762,            0.010956,                   0,           0.0069063,           0.0069063,           0.0069063
                 127,            0.037322,            0.014816,                   0,             0.99991,             0.94737,             0.99024,             0.66008,            0.016762,            0.010956,                   0,           0.0068815,           0.0068815,           0.0068815
                 128,             0.03602,            0.017411,                   0,              0.6428,             0.94713,             0.82476,             0.42431,            0.029942,            0.010501,                   0,           0.0068568,           0.0068568,           0.0068568
                 129,            0.035552,            0.011316,                   0,              0.6428,             0.94713,             0.82476,             0.42431,            0.029942,            0.010501,                   0,            0.006832,            0.006832,            0.006832
                 130,            0.044639,            0.013124,                   0,              0.6428,             0.94713,             0.82476,             0.42431,            0.029942,            0.010501,                   0,           0.0068073,           0.0068073,           0.0068073
                 131,            0.037815,           0.0099435,                   0,             0.94618,             0.94737,             0.98104,             0.56397,            0.022015,           0.0098548,                   0,           0.0067825,           0.0067825,           0.0067825
                 132,            0.031029,            0.011142,                   0,             0.94618,             0.94737,             0.98104,             0.56397,            0.022015,           0.0098548,                   0,           0.0067577,           0.0067577,           0.0067577
                 133,             0.03874,            0.013671,                   0,             0.94618,             0.94737,             0.98104,             0.56397,            0.022015,           0.0098548,                   0,            0.006733,            0.006733,            0.006733
                 134,            0.030656,            0.011937,                   0,             0.90473,             0.99966,             0.96492,             0.66982,            0.019736,           0.0095567,                   0,           0.0067082,           0.0067082,           0.0067082
                 135,            0.036035,             0.01739,                   0,             0.90473,             0.99966,             0.96492,             0.66982,            0.019736,           0.0095567,                   0,           0.0066835,           0.0066835,           0.0066835
                 136,             0.03234,            0.014355,                   0,             0.82502,                   1,             0.91416,                0.63,             0.02317,           0.0092388,                   0,           0.0066587,           0.0066587,           0.0066587
                 137,             0.04754,            0.015316,                   0,             0.82502,                   1,             0.91416,                0.63,             0.02317,           0.0092388,                   0,            0.006634,            0.006634,            0.006634
                 138,            0.038318,             0.01558,                   0,             0.82502,                   1,             0.91416,                0.63,             0.02317,           0.0092388,                   0,           0.0066092,           0.0066092,           0.0066092
                 139,            0.040485,            0.012376,                   0,                   1,             0.99972,               0.995,             0.61033,            0.019297,           0.0094323,                   0,           0.0065845,           0.0065845,           0.0065845
                 140,             0.04502,            0.013353,                   0,                   1,             0.99972,               0.995,             0.61033,            0.019297,           0.0094323,                   0,           0.0065598,           0.0065598,           0.0065598
                 141,            0.044377,            0.016886,                   0,                   1,             0.99972,               0.995,             0.61033,            0.019297,           0.0094323,                   0,            0.006535,            0.006535,            0.006535
